Date,Close,High,Low,Open
2001-08-01,0.8810,0.8831,0.8748,0.8751
2001-08-02,0.8828,0.8841,0.8779,0.8811
2001-08-03,0.8840,0.8876,0.8772,0.8830
2001-08-06,0.8818,0.8832,0.8780,0.8830
2001-08-07,0.8771,0.8824,0.8744,0.8816
2001-08-08,0.8804,0.8808,0.8733,0.8772
2001-08-09,0.8923,0.8941,0.8794,0.8807
2001-08-10,0.8932,0.8960,0.8907,0.8924
2001-08-13,0.8976,0.9008,0.8918,0.8932
2001-08-14,0.9025,0.9035,0.8932,0.8973
2001-08-15,0.9123,0.9142,0.9014,0.9027
2001-08-16,0.9141,0.9201,0.9090,0.9122
2001-08-17,0.9172,0.9178,0.9095,0.9139
2001-08-20,0.9136,0.9202,0.9106,0.9170
2001-08-21,0.9130,0.9148,0.9073,0.9136
2001-08-22,0.9144,0.9239,0.9127,0.9130
2001-08-23,0.9152,0.9167,0.9096,0.9145
2001-08-24,0.9131,0.9166,0.9073,0.9152
2001-08-27,0.9115,0.9144,0.9081,0.9134
2001-08-28,0.9105,0.9124,0.9024,0.9115
2001-08-29,0.9101,0.9148,0.9082,0.9105
2001-08-30,0.9172,0.9184,0.9055,0.9101
2001-08-31,0.9117,0.9198,0.9063,0.9173
2001-09-03,0.9076,0.9113,0.9053,0.9113
2001-09-04,0.8857,0.9079,0.8844,0.9077
2001-09-05,0.8865,0.8911,0.8851,0.8859
2001-09-06,0.8950,0.8962,0.8821,0.8864
2001-09-07,0.9049,0.9067,0.8923,0.8947
2001-09-10,0.9002,0.9079,0.8973,0.9046
2001-09-11,0.9147,0.9169,0.8951,0.9000
2001-09-12,0.9069,0.9149,0.9005,0.9145
2001-09-13,0.9118,0.9121,0.9044,0.9069
2001-09-14,0.9212,0.9248,0.9078,0.9119
2001-09-17,0.9243,0.9333,0.9168,0.9265
2001-09-18,0.9266,0.9277,0.9184,0.9237
2001-09-19,0.9300,0.9325,0.9222,0.9265
2001-09-20,0.9257,0.9308,0.9224,0.9299
2001-09-21,0.9130,0.9281,0.9088,0.9258
2001-09-24,0.9162,0.9200,0.9103,0.9136
2001-09-25,0.9227,0.9249,0.9143,0.9162
2001-09-26,0.9233,0.9243,0.9191,0.9226
2001-09-27,0.9174,0.9239,0.9156,0.9231
2001-09-28,0.9103,0.9184,0.9079,0.9174
2001-10-01,0.9169,0.9176,0.9057,0.9100
2001-10-02,0.9186,0.9194,0.9130,0.9167
2001-10-03,0.9125,0.9232,0.9124,0.9185
2001-10-04,0.9155,0.9166,0.9107,0.9125
2001-10-05,0.9178,0.9206,0.9151,0.9156
2001-10-08,0.9203,0.9244,0.9163,0.9184
2001-10-09,0.9134,0.9225,0.9128,0.9201
2001-10-10,0.9106,0.9157,0.9100,0.9133
2001-10-11,0.9030,0.9125,0.8987,0.9104
2001-10-12,0.9087,0.9124,0.9010,0.9029
2001-10-15,0.9083,0.9138,0.9062,0.9100
2001-10-16,0.9084,0.9112,0.9036,0.9083
2001-10-17,0.9027,0.9092,0.9008,0.9084
2001-10-18,0.9040,0.9056,0.8994,0.9028
2001-10-19,0.8990,0.9050,0.8962,0.9043
2001-10-22,0.8921,0.9002,0.8893,0.8993
2001-10-23,0.8905,0.8927,0.8865,0.8925
2001-10-24,0.8933,0.8943,0.8894,0.8903
2001-10-25,0.8937,0.8978,0.8875,0.8934
2001-10-26,0.8918,0.8951,0.8900,0.8933
2001-10-29,0.9035,0.9052,0.8920,0.8920
2001-10-30,0.9049,0.9101,0.9028,0.9035
2001-10-31,0.8999,0.9078,0.8983,0.9048
2001-11-01,0.9036,0.9119,0.8990,0.9000
2001-11-02,0.9023,0.9069,0.9004,0.9037
